committee_id;professional_role_id;parent_id;license_id;name
Scientific Committee;Scientific Diver;Scientific Diving Instructor;;Scientific Diver
Scientific Committee;Scientific Diver;Scientific Diving Instructor;;Scientific Advanced Diver
Scientific Committee;Scientific Instructor;National Scientific Committee;Scientific Instructor;Scientific Diving Instructor Trainer
Scientific Committee;Scientific Instructor;Scientific Diving Instructor Trainer;Scientific Instructor;Scientific Diving Instructor
Scientific Committee;Scientific Speciality Diver;National Scientific Committee;;Citizen Science Instructor Trainer
Scientific Committee;Scientific Speciality Diver;Archaeology Instructor;;Archaeology
Scientific Committee;Scientific Speciality Diver;Archaeology Instructor;;Archaeology - Advanced
Scientific Committee;Scientific Speciality Diver;Citizen Science Instructor Trainer;;Citizen Science Instructor
Scientific Committee;Scientific Speciality Diver;Citizen Science Instructor;;Citizen Science Diver
Scientific Committee;Scientific Speciality Diver;Conservation Biology Course Instructor;;Conservation Biology Course
Scientific Committee;Scientific Speciality Diver;Fresh water Biology Instructor  ;;Fresh water Biology
Scientific Committee;Scientific Speciality Diver;Fresh water Biology Instructor  ;;Fresh water Biology - Advanced
Scientific Committee;Scientific Speciality Diver;Geology Instructor;;Geology
Scientific Committee;Scientific Speciality Diver;Geology Instructor;;Geology Advanced
Scientific Committee;Scientific Speciality Diver;Heritage Discovery Course Instructor  ;;Heritage Discovery Course
Scientific Committee;Scientific Speciality Diver;Marine Biology Instructor;;Marine Biology
Scientific Committee;Scientific Speciality Diver;Marine Biology Instructor Trainer;;Marine Biology - Advanced
Scientific Committee;Scientific Speciality Diver;Ocean Discovery Instructor;;Ocean Discovery Course
Scientific Committee;Scientific Speciality Instructor;National Scientific Committee;Scientific Instructor;Archaeology Instructor Trainer
Scientific Committee;Scientific Speciality Instructor;National Scientific Committee;Scientific Instructor;Conservation Biology Course Instructor Trainer
Scientific Committee;Scientific Speciality Instructor;National Scientific Committee;Scientific Instructor;Conservation Biology Course Instructor Trainer
