committee_id;professional_role_id;parent_id;license_id;name;price;deleted_at;created_at;updated_at
Sport Committee;Aquathlon Coach;;NULL;Aquathlon Coach - Level 1;NULL;NULL;NULL;NULL
Sport Committee;Aquathlon Coach;;NULL;Aquathlon Coach - Level 2;NULL;NULL;NULL;NULL
Sport Committee;Aquathlon Coach;;NULL;Aquathlon Coach - Level 3;NULL;NULL;NULL;NULL
Sport Committee;Aquathlon Coach;;NULL;Aquathlon Coach - Level 4;NULL;NULL;NULL;NULL
Sport Committee;Finswimming Coach;;NULL;Finswimming Coach - Level 1;NULL;NULL;NULL;NULL
Sport Committee;Finswimming Coach;;NULL;Finswimming Coach - Level 2;NULL;NULL;NULL;NULL
Sport Committee;Finswimming Coach;;NULL;Finswimming Coach - Level 3;NULL;NULL;NULL;NULL
Sport Committee;Finswimming Coach;;NULL;Finswimming Coach - Level 4;NULL;NULL;NULL;NULL
Sport Committee;Freediving Coach;;NULL;Freediving Coach - Level 1;NULL;NULL;NULL;NULL
Sport Committee;Freediving Coach;;NULL;Freediving Coach - Level 2;NULL;NULL;NULL;NULL
Sport Committee;Freediving Coach;;NULL;Freediving Coach - Level 3;NULL;NULL;NULL;NULL
Sport Committee;Freediving Coach;;NULL;Freediving Coach - Level 4;NULL;NULL;NULL;NULL
Sport Committee;Orienteering Coach;;NULL;Orienteering Coach - Level 1;NULL;NULL;NULL;NULL
Sport Committee;Orienteering Coach;;NULL;Orienteering Coach - Level 2;NULL;NULL;NULL;NULL
Sport Committee;Orienteering Coach;;NULL;Orienteering Coach - Level 3;NULL;NULL;NULL;NULL
Sport Committee;Orienteering Coach;;NULL;Orienteering Coach - Level 4;NULL;NULL;NULL;NULL
Sport Committee;Spearfishing Coach;;NULL;Spearfishing Coach - Level 1;NULL;NULL;NULL;NULL
Sport Committee;Spearfishing Coach;;NULL;Spearfishing Coach - Level 2;NULL;NULL;NULL;NULL
Sport Committee;Spearfishing Coach;;NULL;Spearfishing Coach - Level 3;NULL;NULL;NULL;NULL
Sport Committee;Spearfishing Coach;;NULL;Spearfishing Coach - Level 4;NULL;NULL;NULL;NULL
Sport Committee;Sport Diving Coach;;NULL;Sport Diving Coach - Level 1;NULL;NULL;NULL;NULL
Sport Committee;Sport Diving Coach;;NULL;Sport Diving Coach - Level 2;NULL;NULL;NULL;NULL
Sport Committee;Sport Diving Coach;;NULL;Sport Diving Coach - Level 3;NULL;NULL;NULL;NULL
Sport Committee;Sport Diving Coach;;NULL;Sport Diving Coach - Level 4;NULL;NULL;NULL;NULL
Sport Committee;Target Shooting Coach;;NULL;Target Shooting Coach - Level 1;NULL;NULL;NULL;NULL
Sport Committee;Target Shooting Coach;;NULL;Target Shooting Coach - Level 2;NULL;NULL;NULL;NULL
Sport Committee;Target Shooting Coach;;NULL;Target Shooting Coach - Level 3;NULL;NULL;NULL;NULL
Sport Committee;Target Shooting Coach;;NULL;Target Shooting Coach - Level 4;NULL;NULL;NULL;NULL
Sport Committee;Underwater Hockey Coach;;NULL;Underwater Hockey Coach - Level 1;NULL;NULL;NULL;NULL
Sport Committee;Underwater Hockey Coach;;NULL;Underwater Hockey Coach - Level 2;NULL;NULL;NULL;NULL
